{-1.212917236762480200e-01,-2.082630960519236615e-02,2.331440840085893806e-04,-5.433727425611933892e-06},
{-1.418903229248573705e-01,-2.037632261945192952e-02,2.162298215721940309e-04,-1.063554298928390263e-05},
{-1.620610512657263691e-01,-1.997576960527534459e-02,1.836075862830383043e-04,-1.249756951703095975e-05},
{-1.818657108542358070e-01,-1.964604714126054474e-02,1.453575671820257764e-04,-1.065647438368635957e-05},
{-2.013770569026979429e-01,-1.938730143004739961e-02,1.126559719016560768e-04,-5.069756123601137920e-06},
{-2.206567721169672702e-01,-1.917719875461484577e-02,9.680709208009785627e-05,3.967614711553046902e-06},
{-2.397331961647904963e-01,-1.897168172632007765e-02,1.082252421063419068e-04,1.583442043951929779e-05},
{-2.585808182285647128e-01,-1.870772798078883595e-02,1.554506408341232992e-04,2.962212846012446388e-05},
{-2.771034734400594224e-01,-1.830796031374050392e-02,2.442828170496624818e-04,4.419903138699887712e-05},
{-2.951229519053631956e-01,-1.768679758548005743e-02,3.771075683162809777e-04,5.829492183855380927e-05},
{-3.123743470006883349e-01,-1.675769768333162241e-02,5.524793948154492484e-04,7.059980947171987098e-05},
{-3.285089654797328507e-01,-1.544093946528577246e-02,7.650017361015785250e-04,7.986888309455784929e-05},
{-3.431050343258224555e-01,-1.367132934379885513e-02,1.005523812097872810e-03,8.502524825556787014e-05},
{-3.556858146092680140e-01,-1.140520597483663488e-02,1.261647318305076163e-03,8.525199613046950675e-05},
{-3.657441212696689314e-01,-8.626155349834735767e-03,1.518510754759623549e-03,8.006588997932356788e-05},
{-3.727716999747648918e-01,-5.348936170377923890e-03,1.759795905411532619e-03,6.936633846055186188e-05},
{-3.762914739012707122e-01,-1.621245344173183984e-03,1.968881897582904286e-03,5.345525253544307354e-05},
{-3.758903820953255481e-01,2.476884208598948822e-03,2.130059001420685737e-03,3.302569941401965053e-05},
{-3.712504131858916923e-01,6.836079309682802953e-03,2.229708050077786052e-03,9.119783623098842718e-06},
{-3.621755060425080885e-01,1.132285476070755796e-02,2.257352674375764229e-03,-1.694130614548691738e-05},
{-3.486122399135703764e-01,1.578673619102233597e-02,2.206500425263626525e-03,-4.364985413854091667e-05},
{-3.306626531514227918e-01,2.006878747913420566e-02,2.075204647524871160e-03,-6.941966618002198830e-05},
{-3.085880806909437890e-01,2.401093777564388201e-02,1.866300432470331672e-03,-9.270118421606660108e-05},
{-2.828035436670456315e-01,2.746543508793635596e-02,1.587293398546830991e-03,-1.120946099152711484e-04},
{-2.538629097904776533e-01,3.030373805528437797e-02,1.249907368886464532e-03,-1.264520878791960956e-04},
